objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc12,name,hutype,humod,tohuc,noncontrib,noncontr_1,globalid,shape_Leng,shape_Area,_count,_mean,_median,_min,_max
78625,{008B1FB3-0709-48A3-BFBD-C9259AE92772},,,,,2013/01/18 07:09:18.000,,21819.250000000000000,88.299999999999997,ID,"170602050701",Upper Indian Creek,S,NM,"170602050702",0.000000000000000,0.000000000000000,{AAA491E1-E29C-11E2-8094-0021280458E6},0.545380061787849,0.010048419739691,130225.000000000000000,2304.701240161259193,2319.000000000000000,1784.000000000000000,2847.000000000000000
78626,{78FD894A-A65D-404B-983C-6DDA0D3DF0E2},,,,,2013/01/18 07:09:18.000,,15075.129999999999200,61.009999999999998,ID,"170602050702",Middle Indian Creek,S,NM,"170602050703",0.000000000000000,0.000000000000000,{AAA4A8DB-E29C-11E2-8094-0021280458E6},0.370305150505500,0.006941166917207,89961.000000000000000,2203.073342893031622,2212.000000000000000,1513.000000000000000,2951.000000000000000
79113,{E425126F-1195-4356-9CDD-1C3A041BD2B2},,,,,2013/01/18 07:09:18.000,,14242.879999999999200,57.640000000000001,ID,"170602060702",West Fork Monumental Creek,S,NM,"170602060704",0.000000000000000,0.000000000000000,{A9DDD933-E29C-11E2-8094-0021280458E6},0.408562220062105,0.006579353214023,20358.000000000000000,2392.390411631790812,2413.000000000000000,1963.000000000000000,2685.000000000000000
79112,{3DFE5C43-6354-4DEB-98C2-D9D248A0064B},,,,,2013/01/18 07:09:18.000,,19040.729999999999563,77.060000000000002,ID,"170602060701",Upper Monumental Creek,S,NM,"170602060704",0.000000000000000,0.000000000000000,{A9DDC237-E29C-11E2-8094-0021280458E6},0.494531954146099,0.008785233967585,113017.000000000000000,2266.747657432067626,2264.000000000000000,1762.000000000000000,2828.000000000000000
78627,{76E83775-A7A5-46DC-83B6-8CCF40E0990F},,,,,2013/01/18 07:09:18.000,,16297.450000000000728,65.950000000000003,ID,"170602050703",Lower Indian Creek,S,NM,"170602050902",0.000000000000000,0.000000000000000,{AAA4C6EA-E29C-11E2-8094-0021280458E6},0.445785092637329,0.007502262920760,97227.000000000000000,2023.871167474055483,2011.000000000000000,1410.000000000000000,2796.000000000000000
77935,{3F037570-979D-4FCA-8790-1F268FFB57F8},,,,,2013/01/18 07:09:18.000,,21938.650000000001455,88.780000000000001,ID,"170602050804",Lower Marble Creek,S,NM,"170602050903",0.000000000000000,0.000000000000000,{A9D89D98-E29C-11E2-8094-0021280458E6},0.524098207655781,0.010098671295748,41152.000000000000000,1996.497667185069986,2011.000000000000000,1353.000000000000000,2611.000000000000000
78629,{6D5D43FA-11FB-4E24-8739-29690D0E6757},,,,,2013/01/18 07:09:18.000,,18373.599999999998545,74.359999999999999,ID,"170602050802",Middle Marble Creek,S,NM,"170602050804",0.000000000000000,0.000000000000000,{AAA4FBEB-E29C-11E2-8094-0021280458E6},0.555989468328969,0.008466443461789,108981.000000000000000,2142.842807461850953,2134.000000000000000,1545.000000000000000,2899.000000000000000
78630,{8983D41F-0440-4184-BCAD-DA510072CAD5},,,,,2013/01/18 07:09:18.000,,16841.220000000001164,68.150000000000006,ID,"170602050803",Trail Creek,S,NM,"170602050804",0.000000000000000,0.000000000000000,{AAA512D7-E29C-11E2-8094-0021280458E6},0.416689234201452,0.007764379461991,3740.000000000000000,2022.312566844919729,2044.000000000000000,1544.000000000000000,2694.000000000000000
78628,{E0A2915F-44DA-477D-B7F5-01F3AADA4396},,,,,2013/01/18 07:09:18.000,,26168.159999999999854,105.900000000000006,ID,"170602050801",Upper Marble Creek,S,NM,"170602050802",0.000000000000000,0.000000000000000,{AAA4DDCB-E29C-11E2-8094-0021280458E6},0.641136034109954,0.012069371609615,156090.000000000000000,2212.315676853097557,2221.000000000000000,1633.000000000000000,2866.000000000000000
79117,{B89EB910-EAF8-4DE1-A817-74D5B2191283},,,,,2013/01/18 07:09:18.000,,16763.299999999999272,67.840000000000003,ID,"170602060801",Upper Rush Creek,S,NM,"170602060802",0.000000000000000,0.000000000000000,{A9DE2C7D-E29C-11E2-8094-0021280458E6},0.402722566231728,0.007738122740884,50195.000000000000000,2198.371531028986738,2208.000000000000000,1743.000000000000000,2650.000000000000000
